Level Sensor-1,Level Sensor-2,Level Sensor-3, Fluid Flow
67.208518,63.906058,38.431587,253.670678
66.511424,65.812843,39.208007,253.87983
65.759342,61.589489,40.804825,253.912613
68.011693,64.080986,41.844597,254.465654
69.707075,66.080491,42.343689,255.293578
68.550246,67.350709,41.388943,254.109308
68.987838,67.582593,30.246086,253.351048
68.419267,68.944606,35.258471,253.880158
68.920952,69.535036,40.119745,252.932742
67.375582,69.504183,40.787832,253.474802
65.7105,69.379537,41.490624,254.194707
66.711336,69.311659,43.422738,254.626289
68.100984,68.402522,42.313482,254.111439
66.785829,68.394986,41.926637,253.795579
67.681851,66.801346,42.539275,254.489094
65.499528,65.031551,42.446702,254.07587
67.05375,65.757236,42.423138,254.115537
66.872861,63.529871,41.25766,253.659368
66.911644,66.703282,41.274493,253.466606
67.301944,67.336968,41.701728,254.9669
68.939923,58.686742,41.568136,254.016697
66.642711,61.082386,39.950195,254.4332
64.858491,64.515651,42.025046,253.25729
62.840882,65.7904,42.284957,254.332229
67.037368,66.922313,40.692652,253.615439
68.351066,66.858418,41.712544,254.511222
68.105873,67.350645,40.622656,254.280597
66.999738,67.535093,41.894661,254.605144
68.252186,65.370734,42.506409,254.776597
68.121946,66.177677,42.570611,252.942085
68.701556,67.16508,40.577834,254.87183
67.103399,66.689379,41.711467,254.062101
66.717968,65.96776,39.794763,254.097179
68.769814,66.541614,39.836065,252.774894
65.723213,68.093338,39.790997,254.027024
64.777695,67.5756,39.323962,253.788531
64.430707,63.572864,40.31537,254.287153
67.315044,65.231417,38.419073,253.512338
67.475166,65.678873,39.218389,254.171759
67.492164,65.778466,39.017242,253.462508
68.438053,64.555521,41.046535,254.41812
69.330698,65.140555,40.336027,254.624978
68.601787,64.902296,39.983551,253.189921
68.34907,67.149694,40.637761,254.426643
68.396061,68.106585,40.205522,253.321871
69.185482,68.400105,42.644324,254.549086
69.267042,68.142409,43.511895,252.826035
68.945345,68.837541,44.110427,253.866389
68.405972,68.223745,43.217754,253.314659
67.869454,67.817091,40.867387,253.533155
67.575547,67.423377,36.049257,254.446641
68.702569,66.837001,37.158761,253.907531
66.659534,66.687535,39.438183,254.048005
65.547041,67.259792,41.371107,253.906384
65.971392,63.063399,40.099366,254.605636
65.039062,65.048275,39.257093,253.70428
66.194706,65.548524,40.943671,253.01142
66.903262,65.764928,39.22301,253.772631
67.993806,62.716714,40.271058,253.389403
67.915641,66.327936,36.460139,254.038826
67.395231,66.635914,38.101105,253.257945
67.274983,67.25289,40.44904,254.57859
